crime_type,n_incidents,gini_nta,gini_mod_nta,gini_poisson_nta,marginal_nta,nested_gini_tract,nested_gini_mod_tract,nested_gini_poi_tract,marginal_tract,n_ntas_used_tract,nested_gini_block,nested_gini_mod_block,nested_gini_poi_block,marginal_block,n_tracts_used_block
Murder,1418,0.5335175731888053,0.5229954902190466,0.2084398391925637,0.3250777339962416,0.5553895884749244,0.3781894869097179,0.52739444161475,0.027995146860174347,177,0.920635107796109,0.12894418698367915,0.9127101489988303,0.007924958797278725,800
Robbery,64835,0.4466983154035292,0.44653148395933945,0.031093593250160922,0.4156047221533683,0.3272558095284419,0.3236360751125472,0.09649997788522732,0.2307558316432146,197,0.6701472138762155,0.5798910638086551,0.4401708212742819,0.22997639260193353,2217
Robbery (outdoor),37463,0.45366534913432693,0.4532644211726991,0.040899130243544635,0.4127662188907823,0.3186536154314055,0.3122158359713454,0.12663287099811632,0.1920207444332892,197,0.6776521414236961,0.5105707567937181,0.5392667924264758,0.13838534899722033,2189
Felony assault,111663,0.4240399559752193,0.4238881602086958,0.023694941071806808,0.4003450149034125,0.3057797332343448,0.30350900700245015,0.07447376695514195,0.23130596627920286,197,0.6741496578870673,0.6228306808554415,0.3667563307678636,0.30739332711920364,2242
Felony assault (outdoor),43293,0.44120003456555795,0.4407377379389559,0.03804746731646336,0.4031525672490946,0.33161317939393087,0.32597466141426806,0.11852087850599735,0.21309230088793352,197,0.7076319934635206,0.5770197928878136,0.514680500056676,0.1929514934068446,2187
Street assault,107598,0.40283267205445955,0.4026693394982117,0.02413828270485585,0.3786943893496037,0.3172301849410749,0.31482886542892335,0.07665974734444973,0.24057043759662516,197,0.6527693555643469,0.598910044383512,0.3780873467194767,0.2746820088448702,2241
Burglary,54826,0.3678557785303612,0.3673743122771717,0.03381172442828895,0.3340440541020723,0.29801469299409133,0.2931291254961616,0.10771302173044911,0.19030167126364222,197,0.6971929805711443,0.5692012614786911,0.5077325794747167,0.1894604010964276,2238
Residential burglary,27367,0.3550194489305824,0.35467280379734034,0.04784637216120469,0.3071730767693777,0.3037748890736791,0.29420900288892915,0.1530288476603357,0.1507460414133434,197,0.768788453097051,0.5312323305748012,0.6374265961600342,0.13136185693701685,2196
Commercial burglary,19990,0.5211869894338031,0.5200081051676043,0.055973691897204025,0.4652132975365991,0.4483280526827298,0.4389162429218758,0.16462384660540155,0.28370420607732827,197,0.7991961828020823,0.6068774340005691,0.5872680803088801,0.21192810249320215,1855
Grand larceny,192203,0.4009997255703975,0.4008599726129799,0.01806135260724373,0.38293837296315375,0.29792884448786544,0.2965689837310269,0.05698193776324034,0.2409469067246251,197,0.6176295971485746,0.582881116691689,0.29981032191645807,0.3178192752321165,2250
GLA,56160,0.3093205417443996,0.3091500697508948,0.03340791490849593,0.2759126268359037,0.2522791140879314,0.24744784916164736,0.10886946430431586,0.14340964978361553,197,0.6653604408252087,0.526532307992991,0.5407534056946086,0.12460703513060012,2248
Retail theft,234913,0.6171341410961064,0.6170546026066385,0.01633736026871646,0.60079678082739,0.6890147083576161,0.6885659262119164,0.04565269461339801,0.6433620137442181,197,0.915203332741857,0.9071877915432627,0.16412496115884823,0.7510783715830087,1831
Vehicle accessory theft,35172,0.3964540321356224,0.39561263827028353,0.04220923746379368,0.35424479467182873,0.2889288682723318,0.28106320341164354,0.132883404319538,0.15604546395279378,197,0.7282880509997416,0.5045132005417647,0.6092216827096305,0.11906636829011108,2204
Theft from auto,74979,0.30914916751986665,0.3087147643602674,0.028914588415093312,0.28023457910477334,0.2572298475063251,0.2534112859217514,0.09398533144934709,0.163244516056978,197,0.6421117732786779,0.5362967600133042,0.49131487055990297,0.15079690271877488,2251
Pickpocket (transit),1163,0.7992632392159259,0.7962556871292569,0.22970363607680178,0.5695596031391241,0.7774808466441434,0.70128418779158,0.40791916301814335,0.36956168362600006,109,0.9535555523266274,0.7725642719652648,0.7105497983657159,0.2430057539609115,234
Pickpocket (non-transit),10508,0.7260921821227819,0.7249348247715349,0.07715926309918186,0.6489329190236001,0.5624599675342863,0.54459332904937785,0.18619240717374314,0.37626756036054315,190,0.8261945667350393,0.6457541880858382,0.5206937985766756,0.3055007681583637,1215
Shootings,3823,0.5857440471843544,0.5805308354318734,0.127658040458424,0.45808600672593036,0.4397655998344766,0.3786623294417648,0.3394435001687716,0.10032209966570499,183,0.8660172793205634,0.3106645626595357,0.8273139087691984,0.03870337055136497,1155
Gun violence,12589,0.5918518019719899,0.5912944536795859,0.07050776843153506,0.5213440335404549,0.3841542604017974,0.36614383663772876,0.19603639468091213,0.18811786572088526,194,0.7802905731084945,0.5134466621605371,0.6586548831928187,0.12163568991567575,1569
Violent crime,183833,0.4256253213265925,0.4255415678525448,0.018467892931523844,0.40715742839506863,0.31128086934354904,0.30989687805102845,0.05800509322398652,0.25327577611956253,197,0.6423104655878009,0.6124988311195393,0.29482662631435025,0.34748383927345067,2249
Property crime,303189,0.34448278421362305,0.3444702066250108,0.0143808255618455,0.33010195865177755,0.2676129761950112,0.26669669196243434,0.046281530944079344,0.22133144525093185,197,0.5710735672375615,0.5497647921634129,0.2538982157605511,0.3171753514770104,2253
7 Major Felonies,487022,0.3507557075304471,0.35071481900906687,0.011346787115374402,0.3394089204150727,0.26948193369149415,0.26892199576984244,0.03652987806888461,0.23295205562260954,197,0.5668835518303222,0.5544567366273603,0.20107007563596194,0.36581347619436033,2253
