level,variance,vpc,crime_type,converged,elapsed_sec
Precinct,1.212016666339974,0.22316632546307555,Murder,TRUE,0.3
Block,4.218984914319697,0.7768336745369243,Murder,TRUE,0.3
Precinct,1.1446406985436075,0.4166352237536769,Robbery,TRUE,0.4
Block,1.6027043008324944,0.5833647762463231,Robbery,TRUE,0.4
Precinct,1.1263790274448409,0.4062226637066131,Robbery (outdoor),TRUE,0.4
Block,1.6464328515554594,0.593777336293387,Robbery (outdoor),TRUE,0.4
Precinct,0.9165323620443419,0.3662658646245947,Felony assault,TRUE,0.5
Block,1.585836683413237,0.6337341353754052,Felony assault,TRUE,0.5
Precinct,1.0149995109376424,0.36617794864236847,Felony assault (outdoor),TRUE,0.4
Block,1.7568755151277646,0.6338220513576315,Felony assault (outdoor),TRUE,0.4
Precinct,0.8394215442972874,0.35543018828306405,Street assault,TRUE,0.5
Block,1.5222842757743982,0.6445698117169358,Street assault,TRUE,0.5
Precinct,0.8350452384704719,0.3548228511218654,Burglary,TRUE,0.5
Block,1.5183692494359793,0.6451771488781346,Burglary,TRUE,0.5
Precinct,0.6971381098997607,0.2687997616781038,Residential burglary,TRUE,0.4
Block,1.896383943645084,0.7312002383218962,Residential burglary,TRUE,0.4
Precinct,1.284737012416241,0.3447973400152589,Commercial burglary,TRUE,0.4
Block,2.441327151418043,0.655202659984741,Commercial burglary,TRUE,0.4
Precinct,0.893559934450345,0.4174381093917606,Grand larceny,TRUE,0.5
Block,1.2470207033652354,0.5825618906082394,Grand larceny,TRUE,0.5
Precinct,0.462391384688033,0.2574936296000206,GLA,TRUE,0.4
Block,1.3333477386692774,0.7425063703999794,GLA,TRUE,0.4
Precinct,1.360294945676923,0.26366498475489747,Retail theft,TRUE,0.5
Block,3.798884408158972,0.7363350152451025,Retail theft,TRUE,0.5
Precinct,0.7773437631893504,0.31104679976072414,Vehicle accessory theft,TRUE,0.4
Block,1.7217777959693672,0.6889532002392758,Vehicle accessory theft,TRUE,0.4
Precinct,0.4116203620059367,0.25105432079186435,Theft from auto,TRUE,0.4
Block,1.227946568001968,0.7489456792081357,Theft from auto,TRUE,0.4
Precinct,4.439190701294382,0.4222692303064665,Pickpocket (transit),TRUE,0.3
Block,6.07351158125789,0.5777307696935334,Pickpocket (transit),TRUE,0.3
Precinct,2.810475313699235,0.4608581433185825,Pickpocket (non-transit),TRUE,0.4
Block,3.2878769763598052,0.5391418566814175,Pickpocket (non-transit),TRUE,0.4
Precinct,1.752980917978267,0.3351092296596048,Shootings,TRUE,0.4
Block,3.4780923048001653,0.6648907703403951,Shootings,TRUE,0.4
Precinct,1.8804708196424853,0.41763563376988055,Gun violence,TRUE,0.4
Block,2.622188119366141,0.5823643662301196,Gun violence,TRUE,0.4
Precinct,0.9622185778042194,0.3948041790324832,Violent crime,TRUE,0.5
Block,1.4749860641584256,0.6051958209675167,Violent crime,TRUE,0.5
Precinct,0.7519434844682209,0.41029764461415535,Property crime,TRUE,0.5
Block,1.0807345587492825,0.5897023553858446,Property crime,TRUE,0.5
Precinct,0.77262278482854585,0.40937922403756954,7 Major Felonies,TRUE,0.7
Block,1.114680574654203,0.5906207759624305,7 Major Felonies,TRUE,0.7
