crime_type,pct_always_zero,pct_nonzero,n_nonzero,total_incidents,mean_per_block
Murder,97.09940420194418,2.900595798055817,2590,7729,0.0865587062670788
Rape,99.91264614971107,0.08735385028893966,78,27263,0.30532410518299513
Robbery,50.78506473144291,49.21493526855709,43945,331391,3.7113179232182056
Felony assault,49.20597589929669,50.794024100703304,45355,393595,4.407953680060924
Burglary,42.46405053084263,57.535949469157366,51375,310063,3.472461138735833
Grand larceny,31.460825157908882,68.53917484209113,61200,830036,9.295748779285939
GLA,44.2816825695471,55.7183174304529,49752,188034,2.105832549388523
Robbery (outdoor),55.02956591855933,44.97043408144067,40155,214568,2.4029924293329747
Felony assault (outdoor),61.5654257940241,38.4345742059759,34319,167058,1.8709178873807284
Street assault,45.19329839179322,54.80670160820679,48938,477340,5.345831653451597
Residential burglary,52.1905657841688,47.8094342158312,42690,201253,2.253874927205125
Commercial burglary,76.79635353671101,23.203646463288983,20719,79823,0.8939546655915424
Retail theft,85.7075661873404,14.292433812659588,12762,622682,6.973547462258657
Vehicle accessory theft,59.9225014558975,40.0774985441025,35786,99316,1.1122608968328629
Theft from auto,31.846078036106256,68.15392196389374,60856,433692,4.8570084666039515
Pickpocket (transit),99.42212068270393,0.5778793172960623,516,6031,0.06754244501187116
Pickpocket (non-transit),89.47946064597052,10.520539354029475,9394,38149,0.42723872239394345
Shootings,88.03588227388792,11.964117726112082,10683,23300,0.2609416297092685
7 Major Felonies,22.40514267795547,77.59485732204453,69286,2088111,23.385196882139496
