crime_type,n_groups,group,n_blocks,pct_blocks
Robbery,5,0,45347,50.78506473144291
Robbery,5,1,3943,4.415849124221655
Robbery,5,2,28766,32.21565201809793
Robbery,5,3,10348,11.58894413833266
Robbery,5,4,888,0.9944899879048515
Felony assault,5,0,43937,49.20597589929669
Felony assault,5,1,30780,34.47117322940465
Felony assault,5,2,3710,4.154907494512386
Felony assault,5,3,9675,10.835237199301169
Felony assault,5,4,1190,1.332706177485105
Burglary,5,0,37917,42.46405053084263
Burglary,5,1,30801,34.49469157371321
Burglary,5,2,8783,9.836267526766116
Burglary,5,3,2624,2.938673117412534
Burglary,5,4,9167,10.26631725126551
Grand larceny,5,0,28092,31.460825157908882
Grand larceny,5,1,14005,15.684495811494871
Grand larceny,5,2,41231,46.175469246965015
Grand larceny,5,3,1223,1.3696635756842719
Grand larceny,5,4,4741,5.30954620794696
GLA,5,0,39540,44.2816825695471
GLA,5,1,28748,32.195493437262016
GLA,5,2,3783,4.236661739013574
GLA,5,3,9184,10.285355910943869
GLA,5,4,8037,9.000806343233437
Robbery (outdoor),5,0,49137,55.029565918559335
Robbery (outdoor),5,1,26472,29.64655288267706
Robbery (outdoor),5,2,6482,7.259328943242395
Robbery (outdoor),5,3,1428,1.5992474129821261
Robbery (outdoor),5,4,5773,6.465304842539085
Felony assault (outdoor),5,0,54973,61.5654257940241
Felony assault (outdoor),5,1,4749,5.318505577207365
Felony assault (outdoor),5,2,4762,5.333064552255522
Felony assault (outdoor),5,3,23707,26.549970882049905
Felony assault (outdoor),5,4,1101,1.2330331944631099
Street assault,5,0,40354,45.19329839179322
Street assault,5,1,10599,11.870044348877839
Street assault,5,2,1357,1.51973301079604
Street assault,5,3,32586,36.493750839940866
Street assault,5,4,4396,4.923173408592035
Residential burglary,5,0,46602,52.1905657841688
Residential burglary,5,1,2103,2.3551941943287193
Residential burglary,5,2,6934,7.765533306455225
Residential burglary,5,3,7274,8.146306500022398
Residential burglary,5,4,26379,29.542400215024863
Commercial burglary,5,0,68573,76.79635353671101
Commercial burglary,5,1,2867,3.2108139586973077
Commercial burglary,5,2,13681,15.321641356448506
Commercial burglary,5,3,2928,3.279129149307889
Commercial burglary,5,4,1243,1.392061998835282
Retail theft,5,0,76530,85.7075661873404
Retail theft,5,1,9901,11.088339380907584
Retail theft,5,2,772,0.8645791336289925
Retail theft,5,3,251,0.28110021054517764
Retail theft,5,4,1838,2.0584150875778344
Vehicle accessory theft,5,0,53506,59.9225014558975
Vehicle accessory theft,5,1,1081,1.2106347713120997
Vehicle accessory theft,5,2,7268,8.139586973077096
Vehicle accessory theft,5,3,5975,6.691528916364288
Vehicle accessory theft,5,4,21462,24.03574788334901
Theft from auto,5,0,28436,31.84607803610626
Theft from auto,5,1,35645,39.91958966088787
Theft from auto,5,2,11531,12.913810867714913
Theft from auto,5,3,2015,2.2566411324642743
Theft from auto,5,4,11665,13.06388030282668
Pickpocket (non-transit),5,0,79898,89.47946064597052
Pickpocket (non-transit),5,1,7505,8.405008287416566
Pickpocket (non-transit),5,2,136,0.15230927742686914
Pickpocket (non-transit),5,3,561,0.6282757693858353
Pickpocket (non-transit),5,4,1192,1.334946019800206
Shootings,5,0,78609,88.03588227388792
Shootings,5,1,7052,7.8976840030461855
Shootings,5,2,552,0.6181964789678807
Shootings,5,3,1902,2.130090041661067
Shootings,5,4,1177,1.3181472024369485
